date,symbol,name,industry,entry_price,down_amplitude,distance_from_stop,macd_bar,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,month
2026-03-16,603416,信捷电气,机器人,52.2,0.2136,0.0286,-0.0674,-0.0172,-0.041,-0.114,-0.0676,-0.0441,2026-03
2026-03-16,603583,捷昌驱动,机器人,34.26,0.1653,0.0423,-0.1798,-0.0239,-0.0382,-0.0925,-0.0762,-0.0245,2026-03
2026-04-01,300276,三丰智能,机器人,7.05,0.25,0.0491,0.0093,-0.0284,-0.044,-0.0156,0.044,-0.0284,2026-04
2026-04-01,603662,柯力传感,机器人,55.93,0.2302,0.047,0.053,-0.0302,-0.0515,-0.022,0.0173,0.0048,2026-04
2026-04-02,300660,江苏雷利,机器人,41.83,0.2514,0.0318,0.2028,-0.0241,0.033,0.033,0.0519,0.0361,2026-04
2026-04-02,688322,奥比中光,机器人,75.53,0.2656,0.0425,0.8359,0.0079,0.0579,0.0682,0.1219,0.078,2026-04
2026-04-03,601689,拓普集团,机器人,57.65,0.2304,0.041,0.6406,-0.0239,0.0118,0.0319,0.0507,0.1183,2026-04
2026-04-03,688255,凯尔达,机器人,26.61,0.2467,0.0435,0.1685,0.0086,0.0443,0.0504,0.1191,0.1928,2026-04
2026-04-09,300607,拓斯达,机器人,25.4,0.209,0.0389,0.3112,0.0201,0.0358,0.0327,0.1524,0.3043,2026-04
2026-04-09,301112,信邦智能,机器人,32.46,0.1863,0.0424,0.2849,0.0185,0.0351,0.0385,0.0234,0.1291,2026-04
2026-04-09,603416,信捷电气,机器人,48.29,0.1722,0.0272,0.3913,0.0168,0.0333,0.0402,0.0696,0.269,2026-04
