板块,代码,名称,最高点价格,最高点日期,最低点价格,最低点日期,跌幅,高→低天数,信号日期,买入价,当日收盘,距撤军线,撤军线,20日最高卖出价,卖出日期,潜在收益
机器人,603416,信捷电气,67.6,2026-01-21,53.16,2026-01-30,21.4%,23,2026-02-13,56.38,56.38,4.3%,54.05,57.26,2026-02-24,+1.6%
机器人,603666,亿嘉和,34.2,2026-01-27,30.51,2026-02-02,10.8%,17,2026-02-13,31.83,31.83,4.3%,30.51,32.41,2026-02-24,+1.8%
机器人,300276,三丰智能,10.17,2026-01-13,8.26,2026-02-02,18.8%,42,2026-02-24,8.69,8.69,3.2%,8.42,8.8,2026-02-25,+1.3%
伺服,300124,汇川技术,82.53,2026-01-22,67.64,2026-03-04,18.0%,46,2026-03-09,70.79,70.79,4.7%,67.64,72.79,2026-03-13,+2.8%
传感,603662,柯力传感,73.3,2026-01-23,59.11,2026-03-09,19.4%,45,2026-03-09,60.67,60.67,2.6%,59.11,62.46,2026-03-11,+3.0%
机器人,300276,三丰智能,9.97,2026-01-26,7.65,2026-03-04,23.3%,43,2026-03-10,8.01,8.01,4.7%,7.65,8.08,2026-03-11,+0.9%
机器人,603416,信捷电气,67.6,2026-01-21,50.75,2026-03-04,24.9%,49,2026-03-11,52.8,52.8,4.0%,50.75,52.89,2026-03-12,+0.2%
执行器,603583,捷昌驱动,40.18,2026-01-26,32.87,2026-03-09,18.2%,45,2026-03-12,34.44,34.44,4.8%,32.87,34.44,2026-03-13,+0.0%
机器人,300024,机器人,20.04,2026-01-26,15.88,2026-03-09,20.8%,46,2026-03-13,16.48,16.48,3.8%,15.88,16.78,2026-03-17,+1.8%
机器人,603666,亿嘉和,34.2,2026-01-27,27.34,2026-03-04,20.1%,49,2026-03-17,28.36,28.36,3.7%,27.34,28.35,2026-03-18,-0.0%
减速器,301368,丰立智能,67.4,2026-02-24,50.1,2026-03-24,25.7%,34,2026-03-30,52.03,52.03,3.9%,50.1,55.88,2026-04-16,+7.4%
减速器,601689,拓普集团,74.47,2026-02-06,55.38,2026-03-24,25.6%,52,2026-03-30,57.4,57.4,3.6%,55.38,61.68,2026-04-16,+7.5%
机器人,300607,拓斯达,32.5,2026-02-24,24.02,2026-03-24,26.1%,35,2026-03-31,25.07,25.07,4.4%,24.02,30.77,2026-04-23,+22.7%
传感,603662,柯力传感,69.51,2026-02-24,53.42,2026-03-24,23.1%,35,2026-03-31,55.29,55.29,3.5%,53.42,57.85,2026-04-20,+4.6%
机器人,300276,三丰智能,8.96,2026-02-24,6.72,2026-03-27,25.0%,36,2026-04-01,7.05,7.05,4.9%,6.72,7.74,2026-04-21,+9.8%
机器人,603416,信捷电气,57.26,2026-02-24,46.1,2026-03-23,19.5%,38,2026-04-03,47.83,47.83,3.8%,46.1,59.58,2026-05-07,+24.6%
机器人,688255,凯尔达,35.1,2026-02-24,25.5,2026-03-23,27.4%,38,2026-04-03,26.61,26.61,4.3%,25.5,31.87,2026-05-07,+19.8%
机器人,301112,信邦智能,38.27,2026-02-27,30.66,2026-03-23,19.9%,41,2026-04-09,32.46,32.46,4.2%,31.14,37.72,2026-05-12,+16.2%
执行器,603583,捷昌驱动,37.61,2026-02-25,30.78,2026-03-24,18.2%,43,2026-04-09,32.81,32.81,4.7%,31.33,34.01,2026-04-22,+3.7%
执行器,603583,捷昌驱动,34.06,2026-04-02,27.4,2026-05-15,19.6%,48,2026-05-20,28.55,28.55,4.2%,27.4,29.75,2026-05-21,+4.2%
